draft_number,years_education,income
246,11,20817.23
80,15,38338.27
52,20,52194.05
113,14,43366.24
14,17,105745.8
132,15,56721.61
169,18,40476.3
340,15,76881.84
100,18,85184.19
262,15,76044.38
43,20,67912.66
335,17,75536.16
203,11,43034.71
160,15,61087.61
204,17,104717.9
293,15,57721.56
147,13,63709.92
58,16,31284.99
230,15,36243.63
77,17,65551.56
288,19,70248.15
267,15,31606.44
322,15,69065.91
85,15,27117.68
1,15,103887.1
357,10,40988.09
218,18,49995.93
138,17,123856.4
200,16,73017.3
294,13,17950.04
172,13,46999.71
288,16,62826.68
30,21,116868.9
286,15,59413.14
246,14,64939.79
318,18,53298.63
107,17,87158.7
190,12,25404.64
365,15,56576.1
153,12,36781.63
55,15,69574.99
350,15,71307.18
79,12,30036.9
327,17,62254.2
159,14,80148.04
111,13,46156.5
142,16,108618.7
359,13,68053.66
83,10,27210.4
50,16,65183.94
283,16,103141
318,14,42005.2
111,15,74009.1
240,15,96501.05
363,17,93624.46
39,15,56930.2
349,18,62089.27
317,15,48488.57
230,14,45809.04
225,18,113327.6
67,14,78575.77
131,14,44704.42
191,14,72306.09
115,18,94244.13
91,16,98476.56
119,13,45161.09
42,15,71509.87
299,15,70357.99
229,14,46369.37
321,14,53136.37
132,12,45176.12
345,16,98862.33
10,17,65935.66
261,13,38601.09
74,18,91608.73
315,14,42757.09
185,14,39630.9
117,14,65006.43
347,14,58551.03
135,12,6117.411
251,15,45628.57
190,15,57390.91
344,14,47853.18
232,13,73358.21
291,12,76828.77
226,14,99770.05
100,16,63283.93
42,20,122709.7
102,10,17864.47
148,15,98070.13
305,15,106676.1
170,10,37592.38
186,12,29281.56
333,17,50877.34
46,13,23519.83
67,15,28795.23
236,15,77225.4
113,18,59210.22
288,11,52500.1
356,16,75721.23
78,16,71345.79
116,16,86944.81
239,14,81386.36
318,16,78320.47
118,12,34730.61
170,12,38671.35
12,15,61334.06
325,13,96774.45
300,14,74183.86
326,16,52812.29
147,16,27058.41
347,15,47291
278,15,47938.37
279,16,66141.27
228,13,50362.33
312,13,57560.97
237,12,98920.2
269,15,60098.83
49,19,88003.45
364,15,43238.01
10,17,79462.16
70,21,113045.3
359,14,64470.42
331,14,38652.17
328,17,79630.16
52,16,85347.35
282,13,45359.95
215,15,62667.45
44,17,60606.47
219,12,57758.4
308,17,72361.82
274,15,34764.72
332,12,17552.44
308,15,111975.8
247,11,46942.31
288,13,47649.21
291,16,84073.53
223,14,38533.99
125,15,12096.16
277,16,120370.9
272,13,56496.04
236,19,102645.5
206,14,61078.11
268,16,78675.36
270,13,25961.8
94,12,58152.79
350,16,74019.23
20,16,57237.67
285,13,100781.4
193,16,99611.48
234,16,74320.23
30,17,42187.82
49,14,58783.46
244,11,23168.83
303,18,87295.59
21,21,14621.36
212,12,6214.229
3,17,68392.96
307,13,38902.23
83,12,38407.68
2,16,60403.84
268,19,135179.3
169,14,51359.86
152,13,43144.76
357,16,88934.19
204,14,55341.51
157,15,65293.36
210,14,31463.66
86,13,54752.38
164,16,25038.71
5,14,41151.55
91,15,87076.09
183,15,56924.2
61,17,15586.08
224,18,74052.82
122,14,62694.08
335,15,34390.36
49,13,64265.5
269,12,36342.49
333,11,8332.933
90,13,51988.48
292,15,57963.66
218,14,65430.12
11,18,43161.39
99,19,97635.29
34,19,122794.9
341,16,57883.01
201,13,51799.35
138,18,102637.3
360,12,35036.58
318,17,83230.66
77,16,49614.14
228,14,23719.13
263,11,25752.33
255,17,100953.4
251,15,102103.5
277,15,103567.1
74,15,87845.57
360,16,44626.62
56,17,85885.02
26,13,23136.07
171,11,23156.53
302,15,76930.38
326,15,94746.05
326,13,69459.48
180,14,55091.55
301,16,134301.5
293,16,38724.48
143,18,79626.52
173,16,72668.91
92,16,48528.37
230,12,62394.2
191,13,43658.59
269,18,140765.6
304,15,87892.39
2,18,82512.59
176,14,129960.2
361,13,69372.2
113,15,125467.3
289,16,74319.23
179,14,25807.75
87,11,17118.78
324,12,41000.13
280,11,16400.67
141,14,50114.2
99,16,125260.5
191,16,90559.13
343,13,53730.19
196,11,18547.13
137,15,42574.46
123,12,51918.03
302,17,73382.17
236,17,72224.84
234,12,38926.1
74,18,160474.5
4,15,33127.86
250,19,63654.21
51,15,41808.26
81,15,76587.12
222,16,48894.25
131,12,46661.8
170,16,27292.84
273,14,65437.38
150,13,47809.79
182,17,78665.2
355,15,64685.03
132,13,49293.12
225,13,71037.7
175,16,65220.61
91,14,18440.04
186,14,62531.63
116,14,63815.49
164,13,0
271,12,61734.07
122,15,66233
91,12,25490.22
142,14,57926.11
176,17,89539.81
287,15,78191.24
141,17,71524.38
143,16,109760.3
32,17,120952
144,14,55341.97
314,14,63294.32
279,16,103701.7
305,14,48794.28
80,16,42949.21
139,13,32678.74
352,11,48123.16
72,16,56611.35
144,16,72239.05
41,18,73102.06
56,15,50890.14
165,17,36848.78
238,11,39161.9
266,11,50075.4
89,12,28528.41
324,15,28127.21
230,17,80492.19
54,15,40279.86
77,18,66699.33
106,14,77880.57
359,13,48308.69
110,17,104384.6
340,14,116306.1
93,14,33656.28
280,10,31633.51
51,15,45295.3
214,14,32433.86
358,15,59309.96
152,15,48342.15
311,10,24105.72
320,16,28663.38
264,14,53050.59
304,19,71188.71
133,12,43468.32
223,16,47362.11
124,14,53316.47
264,15,69373.77
365,18,45159.79
19,16,113437.4
50,17,101886.7
308,13,28833.15
52,14,63667.38
179,14,54289.2
57,20,126015
129,18,47094.19
101,11,40365.49
78,18,123868.8
232,15,57177.52
222,14,38129.18
32,15,31902.87
282,16,51709.17
190,15,147240.9
111,14,48348.75
212,17,52624.27
167,14,20701.19
133,15,113927.6
276,11,58850.33
253,12,17891.62
154,16,103308.3
12,18,112621.3
267,14,83952.06
252,17,39725.93
50,18,83603.69
94,9,18027.04
109,20,126633.1
95,17,70457.13
228,16,27164.93
53,13,23014.18
116,18,49534.75
296,13,21906.92
67,15,38974.6
219,15,74716.16
260,16,66504.66
167,12,30857.08
132,15,52269.97
157,13,36004.82
127,16,34373.33
308,12,49599.22
85,14,47719.98
244,15,61594.94
356,19,153168
10,14,15106.25
198,16,59695.19
166,12,55901.09
203,16,81259.41
194,14,55566.63
328,13,26245.53
115,14,84060.62
96,16,71791.73
360,15,49101.02
360,15,48019.75
113,18,76471.66
299,13,98744.74
253,14,73168.52
262,15,111140.9
149,13,36357.54
226,14,99586.73
28,19,53684.5
52,16,67903.69
101,13,23904.27
122,14,37710.95
51,14,64181.38
203,13,86437.05
32,14,65510.14
44,18,115738
164,16,126296.1
240,11,11197.06
281,17,80411.76
254,16,41976.89
93,14,78832.02
305,14,54766.76
330,12,9415.552
212,13,87370.55
265,17,91284.4
160,14,98994.58
308,18,118840.8
25,18,129168.1
101,13,43093.35
51,16,46788.43
236,14,59181.26
336,17,212067.8
29,22,31764.9
330,14,78382.95
282,10,32627.65
324,16,15992.14
239,15,71653.52
260,14,64582.27
62,20,66618.45
326,15,66041.89
247,15,68141.86
101,17,89198.36
235,17,15530.61
54,17,50726.5
171,16,26388.77
359,13,38699.45
52,19,63693.22
64,19,35383.73
95,13,99938.84
340,12,78031.22
23,15,66360.37
64,20,100729.3
317,16,69727.29
234,12,55327.23
217,15,43575.89
186,14,45587.92
318,16,107845.2
35,17,45877.71
176,17,94398.23
79,17,55257.43
76,14,33425.43
85,15,53008.27
54,15,49950.97
132,16,107898.5
97,18,51838.2
132,16,95553.78
204,18,72322.91
153,13,48662.72
134,17,88367.3
108,14,34784.83
107,17,86636.7
277,13,60629.01
358,13,93564.69
190,13,29244.53
305,12,77640.62
364,16,83381.79
181,16,104298
314,12,55726
333,11,41528.02
145,12,48335.31
9,21,88714.69
175,12,58089.47
295,15,38717.32
111,14,50469.82
360,12,31875.25
312,10,44843.71
3,17,96232.09
351,13,55259.81
22,21,79061.78
184,16,106940.5
312,15,48075.13
287,17,151953
323,13,93984.21
24,13,77461.43
300,18,43939.39
101,12,6396.804
200,12,38517.74
32,16,24757.31
304,12,65835.7
222,14,86758.25
39,14,75994.88
146,18,69955.03
247,17,30162.09
132,16,56055.78
211,15,85195.29
322,13,64872.41
133,13,49707.01
194,15,73744.57
69,16,53062.53
19,19,135699.2
82,14,22338.33
300,16,22415.51
330,19,85860.33
99,11,24878.13
314,14,94183.69
189,12,45692.69
73,12,46295.98
230,16,77621.51
62,17,19892.89
194,15,48007.54
70,15,55143.45
7,18,47644.52
8,16,58338.99
258,15,76496.11
362,14,50409.12
149,10,40892.97
197,15,9420.032
319,12,45730.49
6,15,81073.95
238,13,20825.33
228,14,59382.42
109,14,48404.48
256,14,84668.49
193,15,46398.35
46,17,8521.771
294,15,60584.14
355,12,28718.79
357,17,74305.42
102,15,58420.82
35,17,80838.21
107,16,58801.52
255,12,57498.05
123,13,63480.09
38,16,96713.29
278,13,89445.59
349,16,75793.95
59,18,49039.84
126,15,45733.91
345,15,45445.79
338,14,58084.88
64,17,57914.66
303,14,85206.13
274,17,68796.95
76,15,54225.15
286,13,38671.79
294,16,84755.59
189,19,115205.9
30,17,36048.29
141,11,28138.35
273,12,0
241,15,88351.27
233,12,31683.49
60,17,73414.09
332,15,27510.8
187,13,48456.84
141,14,28533.09
228,12,47130.91
19,14,70580.29
287,16,86713.05
235,16,44402.36
188,15,32018.56
244,18,58260.34
8,19,109113.8
154,17,43140.46
158,14,62225.84
159,17,74007.83
280,15,80563.33
127,15,57715.22
326,18,79831.13
218,16,103998.1
312,14,48957.77
76,18,61115.24
61,15,76061.92
142,16,72856.52
82,11,44477.27
215,17,77259.38
128,15,55097.41
182,16,65811.91
328,16,45397.39
223,18,96946.26
154,13,37679.61
124,14,8058.288
336,14,26906.98
100,16,31929.74
343,15,52601.03
207,15,75127.59
114,15,29540.61
343,17,66371.79
301,15,64406.15
266,15,92343.35
78,15,69874.57
309,15,68799.17
351,16,12404.97
320,14,119969.9
246,14,51061.11
348,12,54795.85
200,14,31607.91
246,12,42766.34
324,18,100289.7
1,13,45406.28
281,15,60119.23
122,13,64398.01
3,17,80218.44
94,18,69711.96
346,14,9985.916
189,12,20461.98
246,16,74935
303,15,52290.3
273,11,37833.15
341,16,486.3737
147,12,26455.14
243,16,34840.94
83,15,11983.05
343,12,10538.68
286,13,30162.59
277,14,94691.84
4,18,137329.7
143,14,46986.28
307,15,49426.12
244,10,19351.54
218,13,58157.52
164,14,46664.19
129,16,83411.29
247,15,92434.02
330,14,71574.48
180,14,3849.01
283,11,22457.52
156,14,48319.1
241,18,64201.3
220,15,70355.57
304,18,99839.77
86,13,18211.73
32,18,57039.27
324,11,21925.5
192,11,42229.86
55,17,96769.89
70,13,21644.25
262,11,46296.39
1,16,38930.93
100,13,34844.31
296,17,67348.63
1,15,48913.5
302,16,46652.36
233,13,44092.71
143,14,90595.71
247,18,9740.64
132,16,60830.34
220,13,85456.88
280,17,21471.81
18,16,44856.75
93,16,83814.31
340,16,69577.19
46,18,29096.94
158,14,18939.33
191,14,35092.43
355,13,21769.5
288,16,69669.55
349,11,47574.7
271,16,68366.76
219,15,106904.7
176,15,54041.61
105,16,54899.07
256,16,46252.45
275,15,76523.88
131,15,102484
23,20,123501.6
182,16,78526.16
231,19,134337.3
118,12,24877
15,21,115111.1
243,15,50366.53
227,16,73280.76
365,13,84414.11
39,16,48276.34
200,14,67450.27
175,18,102153.4
263,17,44325.96
163,15,40290.66
285,15,37972.39
157,16,47666.57
150,16,55790.7
293,16,8434.762
59,13,47914.88
185,12,51291.08
172,16,14929.45
214,13,58477.52
363,16,76638.06
270,13,60293.91
145,16,73257.17
219,17,121146.2
229,12,85395.91
83,13,104485
350,14,52337.33
181,16,49666.09
272,16,109149.6
177,15,49811.45
69,17,66588.94
23,20,112769.8
139,15,80943.8
357,14,93270.84
169,15,100912.3
60,16,65876.86
243,14,68804.03
110,13,80135.56
126,15,31912.96
77,18,89758.49
88,15,91925.6
212,12,31364.4
146,16,85512.51
97,17,57087.68
146,13,74737.95
232,17,34178.3
26,15,109159.1
148,17,84350.03
265,13,32898.8
339,13,68656.84
336,15,3989.703
353,13,47651.74
137,15,108010.6
169,13,55632.27
47,18,71874.2
356,14,104961.8
260,14,21321.45
314,15,83896.44
18,19,60259.2
93,19,128696.8
127,16,49685.43
245,19,150471.2
198,14,99244.63
295,15,70307.73
241,16,64788.88
6,13,63073.97
179,12,14881.79
82,14,57353.01
79,20,91862.19
298,11,20954.06
329,13,91453.8
33,16,83567.68
193,13,42318.5
210,12,63857.19
232,15,67218.44
74,16,75082.28
138,15,25330.13
238,14,30378.32
295,12,77854.85
181,11,35061.04
205,12,41084.21
32,14,81914.05
248,18,43237.87
211,16,74976.8
71,21,87059.6
181,16,79252.66
311,18,75799.66
213,12,49269.95
8,13,15654.39
191,17,64461.52
66,19,98654.16
32,18,54771.08
343,14,23927.41
15,16,93859.8
135,13,67170.53
331,15,46530.73
213,10,29813.5
197,16,47161.87
313,15,87862.3
92,16,63572.09
264,16,89512.5
240,17,45345.11
8,19,75072.34
186,14,70868.47
317,17,45944.72
259,14,63333.45
275,15,90005.09
219,18,153595.7
78,19,183907.5
173,17,84836.46
170,16,37576.11
139,15,78254.66
149,15,39869.45
134,14,40105.5
157,17,97469.17
45,18,58314.25
93,15,73974.8
312,14,21321.45
58,15,94339.09
329,15,72247.83
127,16,77630.19
110,18,39672.57
292,11,49337.45
13,19,58419.23
96,15,80947.41
121,18,86230.24
242,13,16786.85
191,12,10329.22
112,19,44998.14
255,18,127311.7
256,15,117608.3
29,14,67196.3
47,20,101194.8
119,18,54425.36
256,13,54563.54
328,13,74951.29
352,11,19007.51
40,16,18203.34
27,17,71165.67
266,16,68753.48
235,13,59369.69
236,14,79511.41
176,13,47956.31
26,14,34551.04
46,17,49986.51
137,11,12112.2
5,16,54050.61
85,15,40848.39
236,16,61312.59
90,13,75672.72
239,14,71476.25
161,13,85215.55
101,13,44901.9
22,17,51920.33
148,15,34451.98
284,13,59290.38
202,14,69693.15
127,16,40953.34
261,12,52715.6
166,16,95826.48
294,18,72005.48
28,16,51507.5
320,16,0
166,12,33812.61
210,12,51729.06
106,13,33501.75
216,14,57999.89
247,14,75246.27
150,16,45344.88
43,17,63049.21
162,12,50572.89
157,17,53905.17
78,15,63763.3
219,13,56912.09
241,16,88722.4
298,14,23095.31
327,15,48344.85
131,18,101179.5
25,13,63713.07
365,17,111228.8
307,18,82400.15
362,13,50170.96
87,12,40028.46
279,12,54580.94
109,18,69501.58
147,14,36485.45
257,19,60356.43
117,19,70801.22
245,14,86513.96
49,18,91353.04
363,13,59744.43
26,17,123099.7
234,14,73716.18
147,14,48550.15
361,17,48645.41
154,17,97999.43
157,15,86078.45
124,15,58974.98
120,10,40519.32
27,16,78763.05
306,13,24199.68
305,14,65445.82
188,15,24518.06
188,15,56673.35
8,15,47054.16
53,13,52384.13
220,14,66129.47
110,11,43364.37
205,15,28977.64
79,16,69647.85
323,11,16416.59
133,14,45345.61
164,11,26113.58
357,14,63731.14
351,12,41079.09
272,14,30207.45
37,18,53132.45
293,13,72460.01
173,12,24609.67
85,18,65310.61
231,11,40157.63
313,15,50027.73
262,13,65177.2
156,15,44811.04
160,15,21028.62
5,16,70294.89
60,15,68801.2
77,17,65986.21
87,16,27487.68
357,16,55896.09
246,13,53727.96
80,16,89026.97
322,11,52281.28
134,13,37045.53
339,12,46681.17
67,13,36395.28
356,15,67624.83
364,13,46409.59
345,15,77572.26
30,20,47172.38
234,14,105653.2
346,15,94466.72
312,13,43956.05
332,14,37109.51
166,17,111243.4
192,16,42857.39
271,11,20191.8
152,17,74440.63
61,14,51788.98
95,15,38273.59
253,17,65312.23
307,13,78699.4
214,13,75307.21
334,16,106662.1
271,14,48081.69
143,12,42180.18
50,18,74359.88
254,15,40965.08
63,21,53351.49
35,16,44335.78
199,18,54998.79
310,14,77369.21
323,12,36874.59
51,16,37860.74
327,12,65226.42
345,15,112780.7
171,14,0
271,19,68560.53
319,15,50569.93
220,18,90619.32
73,18,49013.79
230,12,51685.25
20,17,95168.06
123,15,105965.2
266,13,64498.28
35,15,68829.92
64,16,78410.89
253,16,3391.679
295,12,23590.88
211,14,58962.45
295,15,164305.5
161,15,72978.14
331,17,74830.44
336,17,57477.97
217,16,22021.89
136,15,9144.712
298,16,126886.8
3,18,0
309,17,124452
332,13,40205.33
94,18,98408.72
330,15,25308.56
307,12,75687.91
335,16,37177.09
308,20,57917.43
307,14,44096.79
344,14,24898.16
110,11,63764.96
177,17,55145.01
93,16,60394.83
30,19,115974.9
339,16,49627.15
81,15,68088.26
93,13,37755.91
204,12,62089.49
292,14,77292.23
230,13,43895.04
90,16,51739.25
116,18,88051.77
202,14,66718.97
183,14,35149.97
200,14,68500.71
362,14,73754.54
58,17,91325.64
220,11,26889.12
69,18,69092.29
308,13,66124.46
354,19,84839.09
234,14,79103.88
304,16,118413.5
6,15,36773.2
13,15,47440.16
11,15,76425.05
350,13,40449.45
117,16,59564.05
172,14,49528.19
273,18,37405.78
17,18,56514.07
30,16,71102.16
325,15,87658.18
277,15,55164.89
118,17,75124.56
260,13,54073.2
332,12,79626.19
105,13,35077.98
248,13,56586.41
144,18,97249.76
285,16,101510.1
130,13,57422.69
40,19,158945.9
103,17,53896.2
283,14,38901.76
204,11,62310.5
322,16,104000.2
109,11,52428.55
147,14,66018.38
64,16,62422.21
54,15,85231.45
214,16,133536.8
348,16,70738.3
353,11,48592.82
224,14,76294.13
67,15,63769.29
147,14,38556.98
200,15,107642.9
269,14,35832.41
332,10,18420.99
212,16,101068.5
306,13,52624.9
343,17,58432.34
270,12,64924.87
109,15,55343.41
208,15,113435.3
260,14,31093.35
40,12,62160.56
96,13,82074.48
163,18,46243.96
40,17,78934.45
69,14,49669.99
287,16,33589.68
313,15,22135.29
362,12,98891.44
300,18,129695.4
191,11,33345.62
164,16,11772.97
300,16,97349.52
192,11,37183.36
174,16,88592.05
318,12,45279.78
139,15,26624.19
81,14,42618.39
92,11,29784.45
321,9,42216.67
316,18,30851.72
284,12,44784.25
30,20,26283.29
126,14,111602.9
5,14,55729.31
170,17,31926.75
335,14,57440.81
23,17,49049.97
189,12,59083.08
341,12,54783.24
175,15,45580.7
142,15,60571.15
105,17,76210.21
187,19,155680.5
347,15,72271.3
10,18,74000.91
278,18,181564.3
88,17,84397.88
67,15,63266.02
192,14,9857.34
287,15,57870.42
83,16,93652.02
19,19,59993.07
219,15,121577.9
295,14,29228.91
86,12,43348.75
36,16,30925.53
82,17,120593.2
103,14,30396.41
358,10,42639.75
301,17,20759.91
185,17,30887.74
247,15,72050.51
136,10,25754.54
271,15,61589.87
193,13,80759.81
57,15,124318.2
326,13,57192.57
53,16,122026.3
247,17,60858.97
140,14,44826.43
291,16,50430.3
338,19,94255.94
246,13,31961.61
90,14,60440.15
246,10,19795.4
184,15,73512.95
173,15,50503.09
118,16,80704.99
137,16,103652.4
223,12,29637.98
274,16,92794.52
264,14,74585.77
236,15,75543.58
261,16,77845.9
108,15,33602.71
15,19,105567
231,16,53787.59
139,18,69913.05
337,14,43395.28
170,15,123054.3
254,10,19145.01
29,18,102320.7
48,17,51635.31
227,12,41458.4
303,16,90840.26
38,18,61489.48
202,16,40497.3
307,15,97377.54
296,15,55215.12
359,15,109089.9
175,15,46968.2
359,14,75181.71
329,12,59109.9
101,17,30348.35
181,15,64401.31
289,15,79346.05
71,15,39522.1
47,16,61983.16
77,15,72526.04
43,17,41261.13
43,19,61459.05
3,14,54744.05
222,13,51884.53
301,14,44758.11
151,15,29624.73
152,15,38735.43
16,15,45023.29
136,16,86640.35
65,17,27778.66
232,15,88904.63
14,18,66838.67
234,15,35280.67
303,15,91650.88
201,12,46605.31
345,12,32346.66
21,21,81161.12
18,15,33399.21
5,13,18130.62
298,14,61852.25
352,17,67361.78
169,11,27560.73
327,12,34748.97
320,18,83682.92
199,16,0
169,17,100994
260,14,82127.66
104,14,64795.24
219,16,95858.28
176,14,38050.27
234,16,75511.24
318,14,34648.53
289,14,82022.54
252,15,77309.51
75,18,97995.34
129,14,32088.85
197,16,84858.23
29,16,64035.93
103,11,24151.07
166,16,51662.59
213,18,83549.91
157,14,55906.6
34,14,24106.38
365,17,89028.98
246,13,23408.61
132,16,22682.88
358,14,52008.13
122,16,62826.82
93,12,55490.07
139,14,115656.1
89,13,104260.5
8,16,55294.16
261,11,48056.49
63,19,52387.58
112,17,52098.42
92,18,136558.8
281,18,92825.3
242,12,40130.55
21,14,75771.23
276,13,23967.99
247,15,114124.2
267,14,78364.52
96,14,30536.13
261,17,18480.24
268,20,147507
161,14,17925.55
361,16,91103.09
241,12,0
319,15,61986.39
32,16,139962.3
120,16,74362.65
61,15,14766.88
249,12,33787.46
343,15,70079.91
355,16,60199.18
97,19,43138.09
200,12,38921.51
236,15,54495.54
43,14,7673.062
214,14,23579.63
70,14,8764.3
188,16,104093.4
203,19,138494.1
47,16,141112.8
315,17,77399.78
228,12,36316.38
41,15,31444.33
116,14,119445.8
74,16,33637.43
150,17,132386.2
54,16,81458.89
181,14,53988.5
355,13,64114.63
305,15,75083.91
230,18,79845.63
344,15,111802.2
204,18,86376.59
152,17,40626.63
218,15,37532.79
252,14,19344.13
249,12,19823.59
262,16,82104.14
18,20,69251.48
238,14,51050.07
21,18,104914.3
325,16,54616.38
35,20,93277.23
52,20,162910.1
49,16,61250.04
279,18,29143.93
71,21,44154.62
184,17,88698.69
267,18,63870.22
196,16,123181.1
362,14,70098.04
337,12,82047.88
123,11,40792.05
76,15,36962.26
284,12,31139.53
35,16,86218.56
218,13,73353.39
272,14,16580.35
106,13,72465.78
3,14,86865.31
285,14,55333.72
192,17,66066.84
237,16,49853.38
34,14,81154.36
107,15,102374.9
37,17,111211
28,14,40140.04
291,13,64097.48
350,16,62112.1
150,14,0
288,14,81570.31
125,17,89498.42
206,13,76646.24
309,19,70077.99
341,16,72148.6
184,17,10054.41
326,15,69367.99
117,16,69422.2
204,11,55903.8
339,16,43253
35,15,58074.19
42,21,82088.34
294,10,16965.22
335,16,82818.52
172,11,41345.82
274,15,59702.18
339,12,20024.87
319,14,28948.58
103,10,31542.32
278,14,48320.17
272,15,45514.36
182,15,24037.2
72,17,80419.67
130,17,16869.62
65,18,76225.63
31,16,21601.01
107,11,29390.73
335,14,80142.84
161,13,39339.64
200,15,52879.51
230,12,4332.534
251,12,53271.48
28,18,79398.09
101,14,21315.06
13,18,107896.9
323,14,64327.24
181,13,37348.58
81,15,75196.05
304,19,104770.2
197,17,62345.94
85,16,34950.94
313,11,26023.66
50,16,30302.19
304,16,55332.17
311,11,63830.13
184,14,69423.71
206,14,122715.4
115,18,118820.2
142,14,49514.52
137,11,21740.64
155,14,47478.43
357,17,100531.5
56,19,71132.46
3,14,70547.62
54,18,83689.92
179,14,0
267,14,59180.14
9,19,65009.23
56,18,32483.46
225,14,67329.09
313,15,56949.03
329,13,72685.66
87,17,134671.2
92,16,44590.09
217,11,85726.94
340,17,86655.28
16,18,187343
354,17,102937.8
26,17,125037.6
218,17,13327.19
199,14,45475.73
363,17,53086.29
123,13,36902.22
323,16,76664.2
197,15,45113.82
124,19,168547.3
54,16,47525.68
199,18,87848.45
245,12,49113.1
275,13,107602
149,13,76796.98
282,11,17787.57
124,14,67827.63
145,18,77378.73
156,15,66195.17
159,15,76793.22
142,12,38275.46
219,11,37844.31
88,14,51768.97
178,16,75988.06
66,17,84934.23
320,19,131191.6
116,13,82465.46
50,16,34679.06
127,15,95130.68
340,16,64758.12
107,13,69721.26
360,16,82818.04
139,12,76870.74
290,15,59057.4
78,13,23683.33
338,14,32084.75
317,11,44022.01
50,15,66283.5
26,15,92761.1
135,19,98864.63
259,13,88607.14
317,12,23528.89
352,12,59065.14
294,14,44233.62
199,14,122843.5
154,10,44359.36
205,15,87409.17
238,14,48960.13
140,13,79340.84
340,16,87848.21
