studyno,treat_ad,cluster,name_recall,positive_impression
2,0,"Study 2, Cluster Number 147",0,0
2,0,"Study 2, Cluster Number 147",0,0
2,0,"Study 2, Cluster Number 147",0,0
2,0,"Study 2, Cluster Number 148",0,0
2,0,"Study 2, Cluster Number 148",0,0
2,0,"Study 2, Cluster Number 149",1,1
2,0,"Study 2, Cluster Number 150",1,0
2,1,"Study 2, Cluster Number 151",0,0
2,1,"Study 2, Cluster Number 151",0,0
2,0,"Study 2, Cluster Number 152",1,1
2,0,"Study 2, Cluster Number 152",1,0
2,0,"Study 2, Cluster Number 153",1,0
2,0,"Study 2, Cluster Number 154",1,1
2,0,"Study 2, Cluster Number 156",1,0
2,0,"Study 2, Cluster Number 156",1,0
2,0,"Study 2, Cluster Number 157",0,0
2,0,"Study 2, Cluster Number 158",1,1
2,1,"Study 2, Cluster Number 160",1,1
2,1,"Study 2, Cluster Number 160",0,0
2,1,"Study 2, Cluster Number 160",1,1
2,1,"Study 2, Cluster Number 160",1,1
2,0,"Study 2, Cluster Number 163",1,1
2,0,"Study 2, Cluster Number 163",1,1
2,0,"Study 2, Cluster Number 164",0,0
2,0,"Study 2, Cluster Number 164",1,1
2,0,"Study 2, Cluster Number 164",0,0
2,0,"Study 2, Cluster Number 165",1,1
2,0,"Study 2, Cluster Number 165",0,0
2,0,"Study 2, Cluster Number 165",0,0
2,0,"Study 2, Cluster Number 165",1,0
2,0,"Study 2, Cluster Number 165",1,0
2,0,"Study 2, Cluster Number 166",0,0
2,0,"Study 2, Cluster Number 167",0,0
2,1,"Study 2, Cluster Number 168",1,1
2,1,"Study 2, Cluster Number 168",1,0
2,1,"Study 2, Cluster Number 168",1,1
2,1,"Study 2, Cluster Number 169",0,0
2,0,"Study 2, Cluster Number 172",1,1
2,0,"Study 2, Cluster Number 172",0,0
2,0,"Study 2, Cluster Number 172",1,0
2,0,"Study 2, Cluster Number 172",1,1
2,0,"Study 2, Cluster Number 172",1,1
2,0,"Study 2, Cluster Number 172",0,0
2,1,"Study 2, Cluster Number 174",1,1
2,1,"Study 2, Cluster Number 174",1,1
2,1,"Study 2, Cluster Number 175",0,0
2,1,"Study 2, Cluster Number 175",1,1
2,1,"Study 2, Cluster Number 177",0,0
2,1,"Study 2, Cluster Number 177",1,1
2,1,"Study 2, Cluster Number 177",0,0
2,1,"Study 2, Cluster Number 177",1,1
2,1,"Study 2, Cluster Number 177",0,0
2,1,"Study 2, Cluster Number 177",1,1
2,1,"Study 2, Cluster Number 179",1,1
2,0,"Study 2, Cluster Number 180",1,0
2,0,"Study 2, Cluster Number 180",1,0
2,0,"Study 2, Cluster Number 182",1,0
2,0,"Study 2, Cluster Number 183",1,0
2,0,"Study 2, Cluster Number 184",1,1
2,0,"Study 2, Cluster Number 186",1,0
2,0,"Study 2, Cluster Number 186",0,0
2,0,"Study 2, Cluster Number 186",1,0
2,0,"Study 2, Cluster Number 187",0,0
2,0,"Study 2, Cluster Number 187",0,0
2,0,"Study 2, Cluster Number 188",1,1
2,0,"Study 2, Cluster Number 188",0,0
2,0,"Study 2, Cluster Number 189",0,0
2,0,"Study 2, Cluster Number 190",0,0
2,0,"Study 2, Cluster Number 191",1,1
2,0,"Study 2, Cluster Number 191",0,0
2,0,"Study 2, Cluster Number 191",0,0
2,0,"Study 2, Cluster Number 191",1,1
2,0,"Study 2, Cluster Number 194",1,0
2,1,"Study 2, Cluster Number 197",1,1
2,0,"Study 2, Cluster Number 198",0,0
2,0,"Study 2, Cluster Number 198",0,0
2,0,"Study 2, Cluster Number 198",0,0
2,1,"Study 2, Cluster Number 199",0,0
2,1,"Study 2, Cluster Number 199",0,0
2,1,"Study 2, Cluster Number 199",1,0
2,1,"Study 2, Cluster Number 199",1,1
2,0,"Study 2, Cluster Number 200",1,1
2,0,"Study 2, Cluster Number 200",0,0
2,0,"Study 2, Cluster Number 201",1,0
2,0,"Study 2, Cluster Number 201",0,0
2,0,"Study 2, Cluster Number 201",0,0
2,0,"Study 2, Cluster Number 202",1,1
2,0,"Study 2, Cluster Number 202",1,1
2,0,"Study 2, Cluster Number 202",0,0
2,0,"Study 2, Cluster Number 204",1,1
2,0,"Study 2, Cluster Number 205",1,1
2,0,"Study 2, Cluster Number 205",0,0
2,0,"Study 2, Cluster Number 206",0,0
2,0,"Study 2, Cluster Number 206",1,0
2,0,"Study 2, Cluster Number 206",0,0
2,0,"Study 2, Cluster Number 206",1,1
2,0,"Study 2, Cluster Number 206",0,0
2,0,"Study 2, Cluster Number 206",0,0
2,0,"Study 2, Cluster Number 206",1,0
2,0,"Study 2, Cluster Number 206",1,1
2,0,"Study 2, Cluster Number 206",0,0
2,0,"Study 2, Cluster Number 206",0,0
2,0,"Study 2, Cluster Number 206",1,1
2,0,"Study 2, Cluster Number 206",0,0
2,0,"Study 2, Cluster Number 206",0,0
2,0,"Study 2, Cluster Number 207",0,0
2,0,"Study 2, Cluster Number 207",0,0
2,0,"Study 2, Cluster Number 207",0,0
2,0,"Study 2, Cluster Number 209",1,1
2,0,"Study 2, Cluster Number 210",1,1
2,1,"Study 2, Cluster Number 211",1,0
2,1,"Study 2, Cluster Number 211",1,1
2,1,"Study 2, Cluster Number 211",1,1
2,0,"Study 2, Cluster Number 212",0,0
2,0,"Study 2, Cluster Number 212",0,0
2,0,"Study 2, Cluster Number 212",0,0
2,0,"Study 2, Cluster Number 213",1,0
2,0,"Study 2, Cluster Number 213",1,0
2,0,"Study 2, Cluster Number 213",1,1
2,1,"Study 2, Cluster Number 214",0,0
2,1,"Study 2, Cluster Number 214",0,0
2,1,"Study 2, Cluster Number 214",0,0
2,0,"Study 2, Cluster Number 215",0,0
2,0,"Study 2, Cluster Number 215",0,0
2,0,"Study 2, Cluster Number 217",1,1
2,0,"Study 2, Cluster Number 217",1,1
2,0,"Study 2, Cluster Number 217",0,0
2,0,"Study 2, Cluster Number 218",1,1
2,0,"Study 2, Cluster Number 218",0,0
2,0,"Study 2, Cluster Number 218",0,0
2,0,"Study 2, Cluster Number 218",0,0
2,0,"Study 2, Cluster Number 218",0,0
2,0,"Study 2, Cluster Number 218",1,0
2,0,"Study 2, Cluster Number 218",1,1
2,0,"Study 2, Cluster Number 218",1,1
2,0,"Study 2, Cluster Number 218",0,0
2,1,"Study 2, Cluster Number 219",0,0
2,1,"Study 2, Cluster Number 219",0,0
2,1,"Study 2, Cluster Number 220",0,0
2,1,"Study 2, Cluster Number 220",1,0
2,0,"Study 2, Cluster Number 221",1,0
2,0,"Study 2, Cluster Number 223",1,0
2,0,"Study 2, Cluster Number 223",1,1
2,0,"Study 2, Cluster Number 223",0,0
2,0,"Study 2, Cluster Number 223",1,1
2,0,"Study 2, Cluster Number 223",1,0
2,0,"Study 2, Cluster Number 225",0,0
2,0,"Study 2, Cluster Number 225",0,0
2,0,"Study 2, Cluster Number 225",0,0
2,1,"Study 2, Cluster Number 226",1,0
2,0,"Study 2, Cluster Number 227",0,0
2,1,"Study 2, Cluster Number 228",1,1
2,1,"Study 2, Cluster Number 228",0,0
2,0,"Study 2, Cluster Number 229",,
2,0,"Study 2, Cluster Number 230",0,0
2,0,"Study 2, Cluster Number 230",1,0
2,0,"Study 2, Cluster Number 230",0,0
2,0,"Study 2, Cluster Number 230",0,0
2,0,"Study 2, Cluster Number 231",0,0
2,0,"Study 2, Cluster Number 231",0,0
2,1,"Study 2, Cluster Number 233",1,1
2,1,"Study 2, Cluster Number 233",1,1
2,1,"Study 2, Cluster Number 233",1,1
2,1,"Study 2, Cluster Number 233",1,0
2,1,"Study 2, Cluster Number 235",1,1
2,1,"Study 2, Cluster Number 236",0,0
2,0,"Study 2, Cluster Number 237",0,0
2,1,"Study 2, Cluster Number 238",1,0
2,1,"Study 2, Cluster Number 238",0,0
2,1,"Study 2, Cluster Number 238",0,0
2,1,"Study 2, Cluster Number 241",0,0
2,1,"Study 2, Cluster Number 241",0,0
2,1,"Study 2, Cluster Number 241",1,1
2,1,"Study 2, Cluster Number 241",0,0
2,0,"Study 2, Cluster Number 242",1,0
2,0,"Study 2, Cluster Number 242",0,0
2,0,"Study 2, Cluster Number 243",0,0
2,0,"Study 2, Cluster Number 244",1,1
2,0,"Study 2, Cluster Number 244",0,0
2,0,"Study 2, Cluster Number 244",1,1
2,0,"Study 2, Cluster Number 245",1,1
2,0,"Study 2, Cluster Number 245",0,0
2,0,"Study 2, Cluster Number 245",0,0
2,0,"Study 2, Cluster Number 245",0,0
2,0,"Study 2, Cluster Number 245",1,1
2,0,"Study 2, Cluster Number 246",0,0
2,0,"Study 2, Cluster Number 246",1,1
2,0,"Study 2, Cluster Number 246",1,0
2,0,"Study 2, Cluster Number 246",1,1
2,0,"Study 2, Cluster Number 246",0,0
2,0,"Study 2, Cluster Number 246",0,0
2,0,"Study 2, Cluster Number 246",1,0
2,1,"Study 2, Cluster Number 248",1,1
2,1,"Study 2, Cluster Number 248",1,1
2,0,"Study 2, Cluster Number 249",1,0
2,0,"Study 2, Cluster Number 249",0,0
2,0,"Study 2, Cluster Number 249",0,0
2,0,"Study 2, Cluster Number 249",1,0
2,0,"Study 2, Cluster Number 252",1,1
2,1,"Study 2, Cluster Number 253",1,1
2,1,"Study 2, Cluster Number 253",1,1
2,1,"Study 2, Cluster Number 253",0,0
2,1,"Study 2, Cluster Number 253",0,0
2,1,"Study 2, Cluster Number 253",1,0
2,1,"Study 2, Cluster Number 253",0,0
2,0,"Study 2, Cluster Number 255",1,0
2,0,"Study 2, Cluster Number 256",1,1
2,0,"Study 2, Cluster Number 256",1,1
2,0,"Study 2, Cluster Number 256",0,0
2,0,"Study 2, Cluster Number 256",1,1
2,0,"Study 2, Cluster Number 256",1,0
2,0,"Study 2, Cluster Number 256",0,0
2,0,"Study 2, Cluster Number 256",1,1
2,0,"Study 2, Cluster Number 256",1,1
2,0,"Study 2, Cluster Number 258",1,1
2,1,"Study 2, Cluster Number 260",0,0
2,0,"Study 2, Cluster Number 261",0,0
2,0,"Study 2, Cluster Number 261",0,0
2,0,"Study 2, Cluster Number 261",1,1
2,0,"Study 2, Cluster Number 261",0,0
2,0,"Study 2, Cluster Number 261",0,0
2,0,"Study 2, Cluster Number 261",1,0
2,0,"Study 2, Cluster Number 261",1,0
2,0,"Study 2, Cluster Number 261",0,0
2,0,"Study 2, Cluster Number 261",1,1
2,0,"Study 2, Cluster Number 262",1,1
2,0,"Study 2, Cluster Number 262",1,1
2,0,"Study 2, Cluster Number 262",1,0
2,0,"Study 2, Cluster Number 262",0,0
2,0,"Study 2, Cluster Number 262",1,1
2,0,"Study 2, Cluster Number 263",1,1
2,0,"Study 2, Cluster Number 264",1,0
2,0,"Study 2, Cluster Number 267",1,1
2,0,"Study 2, Cluster Number 267",1,0
2,0,"Study 2, Cluster Number 267",1,1
2,0,"Study 2, Cluster Number 267",1,0
2,0,"Study 2, Cluster Number 267",0,0
2,0,"Study 2, Cluster Number 268",0,0
2,0,"Study 2, Cluster Number 268",0,0
2,0,"Study 2, Cluster Number 269",1,1
2,1,"Study 2, Cluster Number 270",1,0
2,1,"Study 2, Cluster Number 270",0,0
2,1,"Study 2, Cluster Number 270",0,0
2,1,"Study 2, Cluster Number 270",1,1
2,1,"Study 2, Cluster Number 271",0,0
2,1,"Study 2, Cluster Number 271",0,0
2,1,"Study 2, Cluster Number 271",1,1
2,1,"Study 2, Cluster Number 271",0,0
2,0,"Study 2, Cluster Number 272",0,0
2,0,"Study 2, Cluster Number 272",1,1
2,0,"Study 2, Cluster Number 272",1,0
2,0,"Study 2, Cluster Number 272",0,0
2,0,"Study 2, Cluster Number 272",0,0
2,1,"Study 2, Cluster Number 273",1,0
2,0,"Study 2, Cluster Number 274",0,0
2,0,"Study 2, Cluster Number 275",0,0
2,1,"Study 2, Cluster Number 276",0,0
2,0,"Study 2, Cluster Number 277",1,1
2,0,"Study 2, Cluster Number 278",0,0
2,0,"Study 2, Cluster Number 278",0,0
2,0,"Study 2, Cluster Number 279",0,0
2,0,"Study 2, Cluster Number 279",0,0
2,0,"Study 2, Cluster Number 279",0,0
2,1,"Study 2, Cluster Number 280",1,1
2,0,"Study 2, Cluster Number 281",0,0
2,0,"Study 2, Cluster Number 282",0,0
2,0,"Study 2, Cluster Number 282",0,0
2,0,"Study 2, Cluster Number 282",0,0
2,0,"Study 2, Cluster Number 282",0,0
2,0,"Study 2, Cluster Number 282",1,1
2,0,"Study 2, Cluster Number 282",1,0
2,1,"Study 2, Cluster Number 284",0,0
2,1,"Study 2, Cluster Number 284",1,1
2,1,"Study 2, Cluster Number 284",0,0
2,0,"Study 2, Cluster Number 285",1,0
2,0,"Study 2, Cluster Number 285",0,0
2,0,"Study 2, Cluster Number 286",1,0
2,0,"Study 2, Cluster Number 286",0,0
2,0,"Study 2, Cluster Number 287",1,0
2,0,"Study 2, Cluster Number 287",1,1
2,0,"Study 2, Cluster Number 287",1,1
2,0,"Study 2, Cluster Number 287",1,1
2,0,"Study 2, Cluster Number 287",0,0
2,0,"Study 2, Cluster Number 287",1,1
2,0,"Study 2, Cluster Number 287",,
2,0,"Study 2, Cluster Number 287",1,0
2,0,"Study 2, Cluster Number 287",1,0
2,0,"Study 2, Cluster Number 288",0,0
2,0,"Study 2, Cluster Number 288",0,0
2,0,"Study 2, Cluster Number 290",1,1
2,0,"Study 2, Cluster Number 291",1,1
2,0,"Study 2, Cluster Number 291",1,0
2,0,"Study 2, Cluster Number 292",1,1
2,0,"Study 2, Cluster Number 294",1,1
2,1,"Study 2, Cluster Number 295",0,0
2,1,"Study 2, Cluster Number 295",1,0
2,1,"Study 2, Cluster Number 295",1,0
2,1,"Study 2, Cluster Number 295",0,0
2,1,"Study 2, Cluster Number 295",1,0
2,1,"Study 2, Cluster Number 295",0,0
2,1,"Study 2, Cluster Number 296",1,0
2,0,"Study 2, Cluster Number 297",0,0
2,0,"Study 2, Cluster Number 297",1,0
2,0,"Study 2, Cluster Number 297",1,0
2,0,"Study 2, Cluster Number 297",1,1
2,0,"Study 2, Cluster Number 297",1,1
2,1,"Study 2, Cluster Number 298",1,1
2,1,"Study 2, Cluster Number 298",1,1
2,1,"Study 2, Cluster Number 298",0,0
2,1,"Study 2, Cluster Number 298",0,0
2,0,"Study 2, Cluster Number 299",1,1
2,0,"Study 2, Cluster Number 300",1,1
2,0,"Study 2, Cluster Number 300",1,1
2,0,"Study 2, Cluster Number 300",1,1
2,1,"Study 2, Cluster Number 301",1,0
2,1,"Study 2, Cluster Number 301",1,1
2,0,"Study 2, Cluster Number 302",0,0
2,0,"Study 2, Cluster Number 302",1,1
2,0,"Study 2, Cluster Number 302",0,0
2,0,"Study 2, Cluster Number 302",1,1
2,0,"Study 2, Cluster Number 302",0,0
2,0,"Study 2, Cluster Number 302",0,0
2,0,"Study 2, Cluster Number 302",0,0
2,0,"Study 2, Cluster Number 302",1,1
2,0,"Study 2, Cluster Number 302",0,0
2,0,"Study 2, Cluster Number 303",0,0
2,0,"Study 2, Cluster Number 305",1,0
2,1,"Study 2, Cluster Number 306",1,1
2,1,"Study 2, Cluster Number 308",1,1
2,0,"Study 2, Cluster Number 309",1,1
2,0,"Study 2, Cluster Number 310",1,0
2,0,"Study 2, Cluster Number 310",0,0
2,0,"Study 2, Cluster Number 310",1,0
2,0,"Study 2, Cluster Number 310",1,0
2,0,"Study 2, Cluster Number 312",0,0
2,0,"Study 2, Cluster Number 313",1,1
2,0,"Study 2, Cluster Number 313",1,1
2,0,"Study 2, Cluster Number 313",1,0
2,0,"Study 2, Cluster Number 313",1,1
2,0,"Study 2, Cluster Number 313",1,1
2,0,"Study 2, Cluster Number 313",1,1
2,0,"Study 2, Cluster Number 314",0,0
2,0,"Study 2, Cluster Number 314",0,0
2,0,"Study 2, Cluster Number 314",0,0
2,0,"Study 2, Cluster Number 315",0,0
2,0,"Study 2, Cluster Number 316",1,1
2,0,"Study 2, Cluster Number 316",0,0
2,0,"Study 2, Cluster Number 316",1,1
2,0,"Study 2, Cluster Number 317",1,1
2,0,"Study 2, Cluster Number 317",0,0
2,0,"Study 2, Cluster Number 318",1,1
2,0,"Study 2, Cluster Number 318",1,1
2,0,"Study 2, Cluster Number 318",0,0
2,0,"Study 2, Cluster Number 318",1,1
2,0,"Study 2, Cluster Number 318",0,0
2,0,"Study 2, Cluster Number 318",0,0
2,0,"Study 2, Cluster Number 318",0,0
2,0,"Study 2, Cluster Number 318",1,1
2,0,"Study 2, Cluster Number 318",0,0
2,0,"Study 2, Cluster Number 318",0,0
2,1,"Study 2, Cluster Number 319",0,0
2,1,"Study 2, Cluster Number 319",1,1
2,0,"Study 2, Cluster Number 320",0,0
2,0,"Study 2, Cluster Number 321",1,0
2,0,"Study 2, Cluster Number 321",0,0
2,0,"Study 2, Cluster Number 321",1,1
2,1,"Study 2, Cluster Number 323",0,0
2,0,"Study 2, Cluster Number 324",1,0
2,0,"Study 2, Cluster Number 324",1,1
2,1,"Study 2, Cluster Number 325",0,0
2,0,"Study 2, Cluster Number 326",0,0
2,0,"Study 2, Cluster Number 326",1,1
2,0,"Study 2, Cluster Number 326",1,0
2,0,"Study 2, Cluster Number 326",0,0
2,0,"Study 2, Cluster Number 326",1,0
2,0,"Study 2, Cluster Number 326",1,1
2,0,"Study 2, Cluster Number 326",1,1
2,0,"Study 2, Cluster Number 326",0,0
2,0,"Study 2, Cluster Number 327",1,0
2,0,"Study 2, Cluster Number 327",0,0
2,0,"Study 2, Cluster Number 328",1,0
2,0,"Study 2, Cluster Number 328",1,1
2,0,"Study 2, Cluster Number 328",0,0
2,0,"Study 2, Cluster Number 328",1,1
2,0,"Study 2, Cluster Number 328",0,0
2,0,"Study 2, Cluster Number 328",0,0
2,0,"Study 2, Cluster Number 329",1,0
2,0,"Study 2, Cluster Number 329",0,0
2,0,"Study 2, Cluster Number 330",1,1
2,0,"Study 2, Cluster Number 331",0,0
2,0,"Study 2, Cluster Number 331",1,1
2,0,"Study 2, Cluster Number 331",1,0
2,0,"Study 2, Cluster Number 331",1,0
2,0,"Study 2, Cluster Number 332",1,1
2,0,"Study 2, Cluster Number 332",0,0
2,1,"Study 2, Cluster Number 333",1,0
2,1,"Study 2, Cluster Number 333",1,1
2,1,"Study 2, Cluster Number 333",0,0
2,1,"Study 2, Cluster Number 333",0,0
2,1,"Study 2, Cluster Number 333",0,0
2,1,"Study 2, Cluster Number 333",0,0
2,1,"Study 2, Cluster Number 333",0,0
2,1,"Study 2, Cluster Number 333",1,1
2,1,"Study 2, Cluster Number 333",0,0
2,1,"Study 2, Cluster Number 333",1,1
2,1,"Study 2, Cluster Number 333",0,0
2,1,"Study 2, Cluster Number 333",0,0
2,1,"Study 2, Cluster Number 333",1,1
2,1,"Study 2, Cluster Number 333",1,0
2,1,"Study 2, Cluster Number 333",0,0
2,1,"Study 2, Cluster Number 333",1,1
2,1,"Study 2, Cluster Number 333",0,0
2,1,"Study 2, Cluster Number 333",0,0
2,1,"Study 2, Cluster Number 333",1,1
2,1,"Study 2, Cluster Number 333",0,0
2,1,"Study 2, Cluster Number 333",0,0
2,1,"Study 2, Cluster Number 333",1,0
2,1,"Study 2, Cluster Number 333",1,1
2,0,"Study 2, Cluster Number 334",0,0
2,0,"Study 2, Cluster Number 335",1,1
2,0,"Study 2, Cluster Number 336",1,1
2,0,"Study 2, Cluster Number 336",1,1
2,0,"Study 2, Cluster Number 336",0,0
2,0,"Study 2, Cluster Number 336",1,1
2,0,"Study 2, Cluster Number 336",1,0
2,0,"Study 2, Cluster Number 336",1,1
2,0,"Study 2, Cluster Number 340",0,0
2,1,"Study 2, Cluster Number 341",1,1
2,1,"Study 2, Cluster Number 341",1,1
2,1,"Study 2, Cluster Number 341",1,1
2,1,"Study 2, Cluster Number 341",1,0
2,0,"Study 2, Cluster Number 342",1,1
2,0,"Study 2, Cluster Number 343",1,1
2,0,"Study 2, Cluster Number 343",1,1
2,0,"Study 2, Cluster Number 343",0,0
2,0,"Study 2, Cluster Number 343",1,1
2,0,"Study 2, Cluster Number 343",1,1
2,0,"Study 2, Cluster Number 343",1,1
2,0,"Study 2, Cluster Number 343",1,1
